,cluster_broad,date_publish,outlet,headline
78,2,2019-08-27 20:22:40,HuffPost,Student Says U.S. Immigration Denied Him Entry After Seeing Friends' Social Media Posts
79,2,2019-08-27 20:24:28,Reuters,Deutsche Bank says records sought by Democrats include tax returns
80,8,2019-08-27 20:24:56,Reuters,"Explosion hits Gaza motorcycle, two dead: officials"
81,2,2019-08-27 20:33:31,CNN,College Board abandons SAT 'adversity score' for a new tool
82,6,2019-08-27 20:36:47,Reuters,Purdue Pharma in discussion on $10 billion-$12 billion offer to settle opioid claims: sources
84,2,2019-08-27 20:47:17,Yahoo! News,Harvard freshman deported after officials ‘find posts from his friends that oppose the US'
85,2,2019-08-27 20:47:53,The Guardian,'Not nice!': Trump denies rumors of bedbugs at resort he's promoting for G7
86,2,2019-08-27 20:47:53,Yahoo! News,'Not nice!': Trump denies rumors of bedbugs at resort he's promoting for G7
87,6,2019-08-27 20:50:23,Yahoo! News,OxyContin maker Purdue Pharma reportedly offering opioid settlement up to $12B
88,2,2019-08-27 20:54:12,Yahoo! News,Trump administration moves millions from FEMA disaster relief to fund ICE
89,2,2019-08-27 20:57:44,Reuters,Deutsche Bank says records sought in Trump congressional probe include tax returns
90,3,2019-08-27 20:58:40,The Washington Post,"Biden: Racism in US is institutional, ‘white man’s problem’"
91,2,2019-08-27 21:01:04,HuffPost,Trump Administration Sending Millions From Disaster Relief Fund To Southern Border
92,8,2019-08-27 21:15:13,Reuters,BRIEF-Ex-Google engineer Levandowski pleads not guilty to stealing trade secrets
93,8,2019-08-27 21:22:50,Yahoo! News,Epstein accusers detail sexual abuse claims in emotional court hearing
94,6,2019-08-27 21:30:26,The Washington Post,"OxyContin maker, government attorneys in settlement talks"
95,8,2019-08-27 21:34:11,Yahoo! News,Federal judge blocks Missouri's 8-week abortion ban
96,2,2019-08-27 21:35:00,NBC News,Deutsche Bank acknowledges it has tax returns tied to Trump sought by House committees
97,2,2019-08-27 21:36:37,Breitbart,De Blasio School Plan Would Eliminate All Gifted Programs in NYC
98,8,2019-08-27 21:36:45,Reuters,"Explosions hit Gaza police checkpoints, two dead: officials"
99,6,2019-08-27 21:46:19,The Washington Post,VA investigating patient deaths at West Virginia hospital
100,2,2019-08-27 21:54:45,Reuters,"Trump administration taps disaster, cyber funds to cover immigration"
101,11,2019-08-27 21:59:28,Reuters,Italy inches toward new govt as Trump backs Conte's return as PM
102,2,2019-08-27 22:01:21,The Washington Post,Deutsche Bank has tax returns sought in Congressional probe
103,2,2019-08-27 22:11:53,CBS News,Trump administration to use millions in disaster aid for migrant detention centers
104,2,2019-08-27 22:11:53,CBS News,Trump administration to divert FEMA funds for migrant detention and border enforcement
105,2,2019-08-27 22:13:42,Yahoo! News,College Board Nixes Plan for SAT ‘Adversity Scores’
106,8,2019-08-27 22:15:00,Reuters,"Ex-Google engineer indicted for stealing self-driving car secrets, pleads not guilty"
107,6,2019-08-27 22:16:39,CNN,"Purdue Pharma in settlement talks over 2,000 lawsuits"
108,2,2019-08-27 22:17:49,The Guardian,Palestinian Harvard student says he was barred from US over friends' social media posts
109,8,2019-08-27 22:20:08,USA Today,Missouri's 8-week abortion ban put on hold by federal judge
110,1,2019-08-27 22:20:36,Reuters,Philip Morris and Altria in merger talks as Marlboro fades and e-cigs light up
111,2,2019-08-27 22:21:30,The Washington Post,"Trump administration will divert disaster relief funds to U.S.-Mexico border enforcement, prompting outcry from Democrats"
112,8,2019-08-27 22:25:28,Chicago Tribune,Federal judge blocks Missouri’s 8-week abortion ban the day before it was set to take effect
113,3,2019-08-27 22:32:31,CBS News,2020 Daily Trail Markers: Biden's team disputes poll showing him behind
114,8,2019-08-27 22:38:09,The Washington Post,Suspect in Virginia triple murder apprehended
115,2,2019-08-27 22:41:22,HuffPost,"William Barr Books $30,000 Party At Trump Hotel: Report"
116,8,2019-08-27 22:47:00,Yahoo! News,"Prince Andrew ‘knows what he’s done’ and should ‘come clean’, says Epstein sex victim"
117,2,2019-08-27 22:51:10,USA Today,Attorney General William Barr to host holiday party at Trump Hotel
118,8,2019-08-27 22:56:00,NBC News,"Wife of D.C. political consultant alleges husband had affair with Ilhan Omar, files for divorce"
119,8,2019-08-27 22:56:00,NBC News,Rep. Ilhan Omar at center of Washington political consultant's divorce
120,6,2019-08-27 23:06:22,Reuters,IN BRIEF: Judge rejects bid to bar opioid epidemic plaintiffs' experts
121,2,2019-08-27 23:07:13,USA Today,Log Cabin Republicans resignations pile up with director's departure
122,3,2019-08-27 23:08:16,Yahoo! News,Biden: Racism in U.S. a ‘white man’s problem’
123,8,2019-08-27 23:13:34,Yahoo! News,Couple wanted for murder in Arizona escape from guards during transport
124,8,2019-08-27 23:13:34,Reuters,Couple wanted for murder in Arizona escape from guards during transport
125,6,2019-08-27 23:25:57,Reuters,Purdue Pharma in discussion on $10 billion-$12 billion offer to settle opioid lawsuits: sources
126,2,2019-08-27 23:52:35,HuffPost,Court Approves Banning Atheists From Reciting Opening Prayers At State Legislature
127,10,2019-08-27 23:53:58,Fox News,"Trump mocks NYT's Bret Stephens: My resort doesn't have 'bedbugs,' but he's 'loaded up with them!'"
128,6,2019-08-27 23:54:35,CNN,Deaths at VA medical center in West Virginia are being investigated
129,8,2019-08-28 00:00:00,The New York Times,"Los Angeles Deputy Who Faked Sniper Attack Is Terminated, Sheriff Says"
130,4,2019-08-28 00:00:00,The New York Times,"Afghan Forces Still Unable to Counter Violence Alone, Joint Chiefs Chairman Says"
131,2,2019-08-28 00:00:00,The New York Times,Eliminate Gifted Programs in New York? Momentous Decision for de Blasio
132,3,2019-08-28 00:00:00,The New York Times,Mattis Says U.S. Is Dividing Into ‘Hostile Tribes’ and Defends Importance of Allies
133,5,2019-08-28 00:00:00,The New York Times,"Johnson to Ask Queen to Suspend U.K. Parliament, Hindering Brexit Rebels"
134,2,2019-08-28 00:00:00,The New York Times,Trump Tells Aides ‘Take the Land’ as Impatience Grows on Border Wall
135,5,2019-08-28 00:00:00,NPR,Britain's Prime Minister Suspends Parliament Until Oct. 14
136,6,2019-08-28 00:00:00,NPR,Drug Firms Accused Of Fueling Opioid Crisis In Talks To Reach Legal Settlements
137,2,2019-08-28 00:00:00,NPR,"Since Relations Soured, Getting A U.S. Visa Has Been Tough For Russians"
138,14,2019-08-28 00:00:00,NPR,Police In Hong Kong Are Caught Between Protesters And The Government
139,2,2019-08-28 00:00:00,The New York Times,F.B.I. Raids U.A.W. Chief’s Home as Financial Inquiry Widens
140,6,2019-08-28 00:00:00,The New York Times,"10,872 New Yorkers to See Their Marijuana Convictions Disappear"
141,2,2019-08-28 00:00:00,The New York Times,"Barr Plans to Throw $30,000 Holiday Party at the Trump Hotel in Washington"
142,2,2019-08-28 00:00:00,NPR,"Since Relations Soured, Getting A U.S. Visa Has Been Tough For Russians"
143,8,2019-08-28 00:00:00,The New York Times,Montana Men Must Hold ‘I Stole Valor’ Signs for Misrepresenting Military Service
144,2,2019-08-28 00:00:00,NPR,Teen Climate Activist Greta Thunberg Arrives In New York After Sailing The Atlantic
146,8,2019-08-28 00:00:00,The New York Times,Deadly Explosions Target Hamas Police Checkpoints in Gaza
147,7,2019-08-28 00:00:00,NPR,"Still Recovering From Hurricane Maria, Puerto Rico Braces For Dorian"
148,2,2019-08-28 00:00:00,NPR,Shots - Health News
149,7,2019-08-28 00:00:00,Politico,Hurricane Trump meets Hurricane Dorian in Puerto Rico
150,8,2019-08-28 00:00:00,NPR,Epstein Accuser Calls On Prince Andrew To 'Come Clean' About Sex Allegations
151,5,2019-08-28 00:00:00,NPR,Boris Johnson Asks Queen To Suspend Parliament Ahead Of Brexit Deadline : NPR
152,7,2019-08-28 00:00:00,NPR,Morning News Brief
153,8,2019-08-28 00:00:00,The New York Times,Husband and Wife Overpower Guards and Escape During Extradition on Murder Charges
154,11,2019-08-28 00:00:00,The New York Times,Kremlin Denies Involvement in Berlin Killing of Ex-Chechen Commander
155,5,2019-08-28 00:00:00,NPR,Queen Will Suspend U.K. Parliament At Boris Johnson's Request
156,10,2019-08-28 00:00:00,NPR,Johnny Isakson To Retire From Georgia Senate Seat For Health Reasons : NPR
157,8,2019-08-28 00:00:00,The New York Times,Mexico Bar Arson Kills at Least 23
158,2,2019-08-28 00:00:00,The New York Times,Facebook Tightens Rules on Verifying Political Advertisers
159,5,2019-08-28 00:00:00,NPR,Britain's Prime Minister Suspends Parliament Until Oct. 14
160,9,2019-08-28 00:00:00,Politico,How the G-7 Fell for the Amazon Scam
161,8,2019-08-28 00:00:00,NPR,Montana Men Who Lied About Military Service Ordered To Wear 'I Am A Liar' Signs
163,6,2019-08-28 00:00:00,NPR,Several Big Drug Companies Considering Massive Settlements To Resolve Opioid Suits
165,9,2019-08-28 00:00:00,The New York Times,"As Amazon Fires Rage, Brazil’s Government Employees Warn of ‘Collapse’ of Protection System"
166,3,2019-08-28 00:00:00,The New York Times,Polling Picture Comes Into Focus: Biden Leads a 3-Way Race at the Top
167,5,2019-08-28 00:00:00,The New York Times,"With Brexit Gambit, Boris Johnson Reveals a Ruthless Side"
168,2,2019-08-28 00:00:00,The New York Times,"The Plan to Shut Down Gifted Programs, Explained"
169,10,2019-08-28 00:00:00,The New York Times,Isakson to Resign From Senate Citing Health Reasons
171,2,2019-08-28 00:00:00,Yahoo! News,Another resignation shakes LGBT Republican group after Trump endorsement
172,4,2019-08-28 00:00:00,NPR,Violence Follows Pro-Independence Protests In Indonesia's Papua Region
173,6,2019-08-28 00:00:00,NPR,Purdue Pharma Is In Talks To Settle Multiple Opioid Lawsuits
174,7,2019-08-28 00:00:00,NPR,"News Brief: Border Enforcement Funds, Tropical Storm, E-Cigarette Lawsuit"
175,2,2019-08-28 00:00:00,The New York Times,"Greta Thunberg, Teenage Climate Activist, Reaches New York by Boat"
176,7,2019-08-28 00:00:00,The New York Times,"Hurricane Dorian, Brexit, Peloton: Your Wednesday Evening Briefing"
177,5,2019-08-28 00:00:00,The New York Times,What Did Boris Johnson Just Do to Parliament?
178,3,2019-08-28 00:00:00,The New York Times,It’s Official: September Democratic Debate Will Be One Night Only
179,7,2019-08-28 00:01:19,The Washington Post,Tropical Storm Dorian may test a fragile Puerto Rico
180,6,2019-08-28 00:06:20,The Washington Post,"OxyContin maker Purdue Pharma, Sackler family, offer up to $12B to settle opioid suits"
181,8,2019-08-28 00:16:55,USA Today,Alabama GOP urges Rep. Ilhan Omar's expulsion from Congress
182,8,2019-08-28 00:16:55,Yahoo! News,Alabama Republicans are urging Rep. Ilhan Omar's expulsion from Congress
183,3,2019-08-28 00:19:58,The Washington Post,"Biden: Racism in US is institutional, ‘white man’s problem’"
184,10,2019-08-28 00:22:51,HuffPost,Taylor Swift's Equality Act Push Gets Frosty Response From Trump Administration
185,8,2019-08-28 00:25:36,The Washington Post,‘Coward’: Epstein accusers pour out their anger in court
186,8,2019-08-28 00:45:32,Reuters,"Explosions hit Gaza police checkpoints, three dead: officials"
187,2,2019-08-28 00:47:57,Los Angeles Times,SpaceX Starhopper rocket takes a bigger hop as Elon Musk prepares for Mars
188,6,2019-08-28 00:49:13,The Washington Post,VA investigating patient deaths at West Virginia hospital
189,2,2019-08-28 01:19:43,Yahoo! News,SpaceX's Mars rocket prototype rattles nerves of nearby residents in Texas flight test
190,3,2019-08-28 01:21:13,USA Today,Racism is a 'white man's problem'
191,2,2019-08-28 01:21:22,Reuters,SpaceX's Mars rocket prototype rattles nerves of nearby residents in Texas flight test
192,10,2019-08-28 01:24:24,Breitbart,"Trump Campaign,Media, GOP Respond to Beto Ejecting Breitbart Reporter"
193,3,2019-08-28 01:25:13,Yahoo! News,Joe Biden: Racism is a 'white man's problem' that is institutional in the U.S.
194,2,2019-08-28 01:34:11,Yahoo! News,"SpaceX’s Starhopper test rocket takes one giant leap, marking new step toward Mars"
195,8,2019-08-28 01:48:22,The Guardian,1MDB global scandal: Malaysian former PM faces court over missing $540m
196,2,2019-08-28 01:48:28,Los Angeles Times,Harvard freshman denied U.S. entry after arriving from Lebanon
197,12,2019-08-28 01:51:17,Yahoo! News,Michigan Man Accused of Murdering Wife by Putting Lethal Dose of Heroin in Her Cereal
199,2,2019-08-28 01:59:00,The Washington Post,"Gambia’s 1st president, Dawda Jawara, dies at 95"
200,3,2019-08-28 02:13:26,Yahoo! News,Joe Biden took questions from black reporters for 90 minutes. He did not disappoint.
201,3,2019-08-28 02:26:25,Breitbart,"Julian Castro, Tom Steyer to DNC: Nevada Polls Needed for Debate Qualification"
203,8,2019-08-28 02:44:46,Yahoo! News,Ex-Malaysia PM Najib Razak Faces Court for Biggest 1MDB Corruption Trial
204,8,2019-08-28 02:57:25,Breitbart,Federal Judge Blocks Missouri Abortion Law
205,6,2019-08-28 03:01:10,Yahoo! News,"Johnson & Johnson Was Ordered to Pay $572 Million for Its Role in the Opioid Crisis. With Similar Lawsuits Across the Country, That Could Be Just the Beginning"
206,3,2019-08-28 03:04:02,Breitbart,"Biden Says Racism a 'White Man's Problem,' Will Not Promise Black VP"
207,8,2019-08-28 03:10:19,USA Today,Naked Virginia man wanted in triple murder captured by police
208,8,2019-08-28 03:19:23,Yahoo! News,"Virginia police were searching for a 'very dangerous' murder suspect. He was caught naked, TV video shows"
209,8,2019-08-28 03:29:41,The Washington Post,Malaysia ex-PM use ‘elaborate’ plan to loot fund: prosecutor
210,8,2019-08-28 03:38:52,The Washington Post,"Woman fatally stabbed in NW Washington, police chief says"
211,2,2019-08-28 03:50:46,Los Angeles Times,Deutsche Bank has Trump-related tax returns sought by House Democrats
212,7,2019-08-28 03:53:38,Chicago Tribune,"As hurricane season ramps up, millions in FEMA and Coast Guard funds to be moved to boost southern border policies"
213,2,2019-08-28 03:55:37,HuffPost,Trump Offers Pardons To Aides Who Will Fast-Track Wall Before Election Day: Report
214,2,2019-08-28 04:05:22,The Washington Post,Deutsche Bank has tax returns sought in Congressional probe
215,10,2019-08-28 04:50:50,HuffPost,Kellyanne Conway Accidentally Torches Trump With Painful Singing Attempt
216,7,2019-08-28 04:59:14,HuffPost,San Juan Mayor Slams Trump As Storm Approaches: ‘Get Out Of The Way’
217,6,2019-08-28 04:59:28,The Washington Post,"OxyContin maker, government attorneys in settlement talks"
218,9,2019-08-28 05:19:00,ABC News,Experts explain how the Brazilian wildfires became so devastating and what can be done to save the rain forest
219,8,2019-08-28 05:27:31,Reuters,"At start of 1MDB trial, prosecution paint a tale of excess and abuse"
220,6,2019-08-28 05:50:32,Reuters,U.S. authorities investigate deaths at veterans hospital
221,5,2019-08-28 06:00:32,Politico,POLITICO Playbook: Who’s gonna make the debate stage?
223,5,2019-08-28 06:11:01,Fox News,Boris Johnson asks Queen to suspend Parliament to push through no-deal Brexit
224,7,2019-08-28 06:16:00,ABC News,'Start Here': Puerto Rico braces for Tropical Storm Dorian and Brazil rejects G-7 aid
225,8,2019-08-28 06:20:35,The Washington Post,How Malaysia’s 1MDB Scandal Shook the Financial World
226,8,2019-08-28 06:36:00,ABC News,18-year-old triple murder suspect arrested naked while trying to flee from police
227,4,2019-08-28 07:04:46,Reuters,Six killed as Indonesian authorities open fire in Papua: news report
228,9,2019-08-28 07:31:31,Fox News,Brazilian governors say now is 'not the moment to turn down money' as Amazon wildfires rage
229,8,2019-08-28 07:42:58,Reuters,"At start of 1MDB trial, prosecution paints a tale of excess and abuse"
230,8,2019-08-28 07:53:43,Reuters,Fire at bar in Mexico kills at least 23: NBC News
231,3,2019-08-28 07:55:40,Fox News,"Warren outpaces Sanders in new 2020 polls, Biden retains front-runner position"
232,8,2019-08-28 07:57:59,Fox News,Ilhan Omar issues terse denial on allegations of affair with married DC consultant
233,3,2019-08-28 08:00:03,Fox News,Newt Gingrich: Joe Biden has 'paralyzed' progress on race relations with political rhetoric
234,3,2019-08-28 08:00:03,USA Today,"Biden leads Democrats as Warren climbs, Sanders slips"
235,2,2019-08-28 08:03:20,National Review,Trump Administration to Reallocate Hurricane Relief Funds to Border Security
236,4,2019-08-28 08:14:48,Reuters,"Russia, Turkey discuss supply of Russian stealth fighter jet - RIA"
237,8,2019-08-28 08:26:13,The Washington Post,23 killed in attack on bar in southern Mexico
239,10,2019-08-28 08:28:41,Politico,'Tough guy!': Trump mocks Bret Stephens over bedbug controversy
240,4,2019-08-28 08:35:54,Yahoo! News,Taliban say near agreement on U.S. withdrawal from Afghanistan
241,5,2019-08-28 08:41:10,Reuters,Queen could be asked to suspend parliament on Wednesday - BBC journalist
242,8,2019-08-28 08:44:42,Los Angeles Times,23 killed in attack on bar in southern Mexico
243,4,2019-08-28 08:45:20,Reuters,"Russia, Turkey discuss supply of Russian warplanes: RIA"
244,6,2019-08-28 08:45:30,PBS,OxyContin maker negotiating settlement worth a reported $12B
245,11,2019-08-28 08:48:30,Reuters,Deputy PM in new Italy government should come from PD's ranks: deputy PD leader
246,3,2019-08-28 08:49:35,Fox News,"Mattis swipes at Trump, warns of ‘storm clouds gathering’ amid fractured alliances"
247,8,2019-08-28 08:50:00,Yahoo! News,"Jeffrey Epstein injuries ‘far more consistent with murder than suicide’, lawyer says"
248,8,2019-08-28 08:51:51,National Review,"Ilhan Omar's Campaign Has Paid Over $200,000 to Her Alleged Lover for ‘Fundraising Consulting’"
249,4,2019-08-28 08:58:45,Reuters,Taliban say near agreement on U.S. withdrawal from Afghanistan
250,5,2019-08-28 09:00:13,USA Today,Boris Johnson asks Queen Elizabeth to suspend Parliament for Brexit
251,5,2019-08-28 09:04:16,The Washington Post,Opposition reacts with fury to Parliament suspension reports
252,6,2019-08-28 09:08:10,Fox News,"Juul CEO Kevin Burns calls vaping-related illnesses 'worrisome,' but won't pull products"
253,5,2019-08-28 09:13:41,Fox News,'Bumbling' Boris Johnson shows his ruthless streak with dramatic step closer to sealing Brexit
254,5,2019-08-28 09:17:40,Reuters,Britain's Queen could be asked to suspend parliament on Wednesday: BBC journalist
255,5,2019-08-28 09:18:32,Reuters,Suspension of UK parliament makes no-confidence vote more likely - MP Grieve
256,8,2019-08-28 09:18:33,HuffPost,Ilhan Omar Nails Hypocrisy Of Alabama GOP's Expulsion Call
257,5,2019-08-28 09:27:00,NBC News,U.K. PM Boris Johnson asks queen to suspend Parliament as he clears way for Brexit
258,5,2019-08-28 09:27:00,NBC News,Queen approves Boris Johnson's request to suspend Parliament ahead of Brexit
259,11,2019-08-28 09:28:18,Reuters,Italy PD chief says has accepted Conte as PM in talks with 5-star
260,5,2019-08-28 09:31:11,The Washington Post,"UK Prime Minister Johnson to suspend Parliament, squeezing time for opposition to thwart no-deal Brexit"
262,4,2019-08-28 09:32:01,Reuters,"Fighting resumes between Yemen's govt forces, separatists in Aden - residents"
263,0,2019-08-28 09:32:17,The Washington Post,Nearly 50 migrants rescued in 2 days in busy English Channel
264,8,2019-08-28 09:32:35,The Guardian,Mexico bar attack: fire leaves 23 dead and 13 injured
265,4,2019-08-28 09:32:43,Reuters,"Fighting resumes between Yemen's government forces, separatists in Aden: residents"
266,5,2019-08-28 09:36:30,CNN,Brexit: Boris Johnson asks Queen to suspend Parliament
268,8,2019-08-28 09:40:25,Los Angeles Times,Jeffrey Epstein accuser says Prince Andrew should 'come clean'
269,8,2019-08-28 09:42:58,The Guardian,Three killed in Gaza after explosions at two police checkpoints
270,5,2019-08-28 09:46:17,The Washington Post,The Latest: Johnson to suspend UK parl’t before Brexit date
271,4,2019-08-28 09:48:38,Reuters,Hezbollah to hit back at Israel but war unlikely: deputy chief
272,4,2019-08-28 09:51:15,The Washington Post,Yemen government reclaims key southern city from separatists
273,3,2019-08-28 09:51:44,USA Today,"Biden, Warren and Sanders still at the top"
274,9,2019-08-28 09:53:24,Yahoo! News,"Brazil's president said he would accept $20 million from the G7 to tackle the Amazon fires, but only if Emmanuel Macron apologizes for calling him 'extraordinarily rude'"
275,7,2019-08-28 09:54:24,The Washington Post,10 Things to Know for Today
276,5,2019-08-28 09:55:35,The Washington Post,Boris Johnson accused of ‘deeply dangerous’ behavior after reports he will shutter Parliament ahead of Brexit
277,10,2019-08-28 09:55:45,Fox News,Franklin Graham slams Taylor Swift's Equality Act support as ‘crushing threat to religious liberty’
