,comp1,comp2,comp3,cluster,cluster_broad,id,date_publish,outlet,headline,article_terms,cluster_terms_str
11,-0.0005651644062447525,-0.0007073159408941376,-0.00021867855639153054,1103,2,1483239,2019-08-27 16:59:37,Reuters,Gambia's first post-independence president Jawara dies at 95,"['gambia', 'first', 'postindepend', 'presid', 'jawara', '95dawda', 'kairaba', 'jawara', 'gambia', 'first', 'postindepend', 'presid', 'led', 'tini', 'west', 'african', 'countri', '24', 'year', 'depos', '1994', 'coup', 'die', 'age', '95', 'presid', 'said', 'tuesday']","jawara, dawda, gambia, 95, found, democrat, kairaba, father, elect, coup"
12,-0.00047369233169354194,-0.0008992112672789762,-0.00016967080987726556,1376,8,1899608,2019-08-27 17:03:12,Reuters,Federal judge temporarily blocks Missouri law restricting abortion,"['feder', 'judg', 'temporarili', 'block', 'missouri', 'law', 'restrict', 'abortiona', 'feder', 'judg', 'tuesday', 'block', 'missouri', 'enforc', 'law', 'ban', 'abort', 'state', 'eight', 'week', 'except', 'case', 'medic', 'emerg']","missouri, abort, judg, block, law, block, ban, pregnanc, effect, feder"
13,-0.0007659388206075524,-0.00012067813688983292,-0.00041100429451500903,512,4,55518247,2019-08-27 17:03:21,Yahoo! News,Deal nears in talks with US: Taliban,"['deal', 'near', 'talk', 'us', 'talibanu', 'taliban', 'negoti', 'move', 'closer', 'tuesday', 'deal', 'insurg', 'group', 'said', 'secretari', 'state', 'mike', 'pompeo', 'voic', 'guard', 'hope', 'deal', 'washington', 'withdraw', 'larg', 'number', 'troop', 'afghanistan', 'progress', 'round', 'finalis', 'remain']","taliban, afghanistan, agreement, close, withdraw, milit, deal, withdraw, promis, near"
14,-0.0009978314587835973,-3.1442415518345326e-05,-0.0005055155261875814,827,1,55140382,2019-08-27 17:03:48,Los Angeles Times,Tobacco giants Philip Morris and Altria in talks to reunite,"['tobacco', 'giant', 'philip', 'morri', 'altria', 'talk', 'reunitephilip', 'morri', 'make', 'marlboro', 'cigarett', 'oversea', 'market', 'talk', 'reunit', 'altria', '10', 'year', 'tobacco', 'giant', 'split']","altria, morri, philip, tobacco, reunit, merger, marlboro, giant, talk, cig"
15,-0.0004910325777176315,-0.0008969025009262498,-0.00017198604831379364,1376,8,45606656,2019-08-27 17:05:13,The Washington Post,Federal judge temporarily blocks Missouri ban on abortions at or after 8 weeks of pregnancy,"['feder', 'judg', 'temporarili', 'block', 'missouri', 'ban', 'abort', '8', 'week', 'pregnancyfeder', 'judg', 'temporarili', 'block', 'missouri', 'ban', 'abort', '8', 'week', 'pregnanc']","missouri, abort, judg, block, law, block, ban, pregnanc, effect, feder"
16,-0.0005264188709721919,-0.0007984421525500786,-6.555495194190274e-05,1376,8,55329927,2019-08-27 17:07:00,NBC News,Federal judge blocks Missouri's restrictive abortion law,"['feder', 'judg', 'block', 'missouri', 'restrict', 'abort', 'lawa', 'missouri', 'law', 'call', 'nation', 'restrict', 'abort', 'regul', 'halt', 'tuesday', 'feder', 'judg', 'allow', 'preliminari', 'injunct', 'stop', 'law', 'take', 'effect']","missouri, abort, judg, block, law, block, ban, pregnanc, effect, feder"
17,5.568778441814993e-05,-0.0011103719427233106,-0.0013304627932016618,837,8,131734654,2019-08-27 17:07:39,Slate,LA County sheriff deputy may face criminal charge after faking being shot by sniper.,"['counti', 'sheriff', 'deputi', 'may', 'crimin', 'charg', 'fake', 'shot', 'sniperth', 'hoax', 'led', 'dayslong', 'manhunt']","sniper, sheriff, deputi, shot, fire, counti, fake, allegedli, reinosa, angel"
18,-0.0011109751602295928,0.00022921212077516056,-0.00034794889217695216,827,1,2373458,2019-08-27 17:08:20,Reuters,Philip Morris in merger talks with Altria; e-cigs at stake,"['philip', 'morri', 'merger', 'talk', 'altria', 'ecig', 'stakephilip', 'morri', 'intern', 'inc', 'altria', 'group', 'inc', 'discuss', 'allstock', 'merger', 'potenti', 'reunit', 'two', 'world', 'largest', 'tobacco', 'compani', 'bid', 'domin', 'fastgrow', 'electroniccigarett', 'market']","altria, morri, philip, tobacco, reunit, merger, marlboro, giant, talk, cig"
19,-0.0004620366759678009,-0.0008745955215500709,-0.0003227765823026579,1376,8,55103217,2019-08-27 17:13:33,Los Angeles Times,Federal judge blocks Missouri's 8-week abortion ban law,"['feder', 'judg', 'block', 'missouri', '8week', 'abort', 'ban', 'lawplan', 'parenthood', 'aclu', 'missouri', 'file', 'lawsuit', 'argu', 'law', 'unconstitut', 'goe', 'roe', 'vs', 'wade', 'rule']","missouri, abort, judg, block, law, block, ban, pregnanc, effect, feder"
20,-0.0004890596025974096,-0.0009936293391954777,-0.0009497499209894163,1061,8,4453243,2019-08-27 17:17:05,Fox News,DC consultant's alleged affair with Ilhan Omar is front and center in divorce papers,"['dc', 'consult', 'alleg', 'affair', 'ilhan', 'omar', 'front', 'center', 'divorc', 'papersth', 'wife', 'promin', 'washington', 'polit', 'consult', 'file', 'divorc', 'claim', 'husband', 'made', 'devast', 'shock', 'revel', 'affair', 'freshman', 'rep', 'ilhan', 'omar', 'dminn']","consult, affair, omar, ilhan, husband, divorc, wife, rep, polit, alleg"
21,-0.0005402110767016672,-0.0006843669470020723,-0.0006581868402520533,1100,7,116003934,2019-08-27 17:22:00,ABC News,Trump repeats misleading claim on aid to Puerto Rico as Dorian heads its way,"['trump', 'repeat', 'mislead', 'claim', 'aid', 'puerto', 'rico', 'dorian', 'head', 'waypresid', 'trump', 'repeat', 'fals', 'claim', 'amount', 'aid', 'approv', 'puerto', 'rico', 'tropic', 'storm', 'dorian', 'head', 'way']","rico, puerto, tropic, storm, dorian, hurrican, island, juan, mayor, san"
22,-0.0009141967593526973,0.00018313310781821102,-0.00033810359068830255,125,2,2181433,2019-08-27 17:26:56,Reuters,Are water shortages driving migration? Researchers dispel myths,"['water', 'shortag', 'drive', 'migrat', 'research', 'dispel', 'mythsstockholm', 'thomson', 'reuter', 'foundat', 'water', 'scarciti', 'factor', 'drive', 'million', 'peopl', 'home', 'year', 'often', 'reason', 'move', 'research', 'told', 'intern', 'confer', 'tuesday']","water, nile, scarciti, upper, scientist, peopl, thomson, foundat, problem, research"
23,-0.0004527535728363255,-0.0009069409246561054,-0.00022320564690650046,1376,8,1132624,2019-08-27 17:28:23,Reuters,Federal judge blocks restrictive Missouri abortion law,"['feder', 'judg', 'block', 'restrict', 'missouri', 'abort', 'lawa', 'feder', 'judg', 'tuesday', 'block', 'missouri', 'enforc', 'law', 'ban', 'abort', 'state', 'eight', 'week', 'except', 'case', 'medic', 'emerg']","missouri, abort, judg, block, law, block, ban, pregnanc, effect, feder"
24,-0.0006377671728357265,-0.0004745996539520887,-0.000977273417139669,1,8,45795486,2019-08-27 17:39:08,The Washington Post,Former Google engineer charged with trade secrets theft,"['former', 'googl', 'engin', 'charg', 'trade', 'secret', 'thefta', 'former', 'googl', 'engin', 'charg', 'steal', 'close', 'guard', 'secret', 'later', 'sold', 'uber', 'ridehail', 'servic', 'scrambl', 'catch', 'highstak', 'race', 'build', 'robot', 'vehicl']","engin, secret, steal, levandowski, googl, drive, self, anthoni, uber, car"
25,-0.0002916725857561855,-0.001032318809685188,-0.0012040970643002772,1,8,2217569,2019-08-27 17:44:09,Reuters,U.S. charges former Alphabet engineer with stealing self-driving car secrets,"['us', 'charg', 'former', 'alphabet', 'engin', 'steal', 'selfdriv', 'car', 'secretsth', 'us', 'depart', 'justic', 'tuesday', 'file', 'crimin', 'charg', 'anthoni', 'levandowski', 'accus', 'former', 'highrank', 'alphabet', 'inc', 'engin', 'steal', 'compani', 'selfdriv', 'car', 'technolog', 'join', 'rival', 'uber', 'technolog', 'inc']","engin, secret, steal, levandowski, googl, drive, self, anthoni, uber, car"
26,-0.0007621784461837927,-0.0005183841932974663,-6.443080481751167e-05,1236,9,38969291,2019-08-27 17:47:13,The Guardian,Jair Bolsonaro demands Emmanuel Macron withdraw 'insults' over fires,"['jair', 'bolsonaro', 'demand', 'emmanuel', 'macron', 'withdraw', 'insult', 'firesbrazil', 'presid', 'franc', 'presid', 'continu', 'feud', 'g7', 'aid', 'packag', 'wildfir', 'rage', 'amazon', 'rainforest']","macron, bolsonaro, insult, emmanuel, jair, accept, g7, amazon, french, accept"
27,-0.0006363469295995054,-1.6459526389986693e-05,-0.0006628564939962847,755,7,131766219,2019-08-27 17:47:28,PBS,"U.S. moves FEMA, Coast Guard money to fund border programs","['us', 'move', 'fema', 'coast', 'guard', 'money', 'fund', 'border', 'programsth', 'news', 'come', 'hurrican', 'season', 'ramp', 'tropic', 'storm', 'dorian', 'barrel', 'toward', 'south', 'florida']","tropic, season, storm, cigarett, ramp, border, enforc, divert, money, rico"
28,-0.0006301276285864309,-0.0005734326616781192,-0.001006522736452934,1,8,115846749,2019-08-27 17:48:00,ABC News,Ex-Google engineer charged with stealing company's trade secrets for driverless cars,"['exgoogl', 'engin', 'charg', 'steal', 'compani', 'trade', 'secret', 'driverless', 'carsanthoni', 'levandowski', 'charg', 'steal', 'trade', 'secret', 'work', 'googl', 'uber']","engin, secret, steal, levandowski, googl, drive, self, anthoni, uber, car"
29,-0.0005202812927372181,-0.00044798977387479957,-0.0004756494466895239,1100,7,3873425,2019-08-27 17:49:57,HuffPost,Trump Again Inflates Puerto Rico's Disaster Aid As Another Storm Nears,"['trump', 'inflat', 'puerto', 'rico', 'disast', 'aid', 'anoth', 'storm', 'nearswil', 'ever', 'presid', 'ask', 'tropic', 'storm', 'dorian', 'expect', 'turn', 'hurrican', 'approach', 'island']","rico, puerto, tropic, storm, dorian, hurrican, island, juan, mayor, san"
30,-0.0005606528800592046,-0.0007179646708523249,-0.001014848134907141,1,8,55031808,2019-08-27 17:51:16,Los Angeles Times,Ex-Uber and Waymo engineer charged with trade secrets theft,"['exub', 'waymo', 'engin', 'charg', 'trade', 'secret', 'theftanthoni', 'levandowski', 'charg', 'steal', 'googl', 'close', 'guard', 'secret', 'selfdriv', 'car', 'later', 'sell', 'secret', 'uber']","engin, secret, steal, levandowski, googl, drive, self, anthoni, uber, car"
31,-0.0004760744186853582,-0.0010970112529205002,-0.0008343652249856367,1061,8,4321863,2019-08-27 17:53:27,Breitbart,Divorce Filing: Wife Says Democrat Consultant Had Affair with Ilhan Omar,"['divorc', 'file', 'wife', 'say', 'democrat', 'consult', 'affair', 'ilhan', 'omarth', 'wife', 'democrat', 'consult', 'assert', 'husband', 'engag', 'affair', 'lhan', 'omar', 'recent', 'month', 'accord', 'report']","consult, affair, omar, ilhan, husband, divorc, wife, rep, polit, alleg"
32,-0.0004005496272371078,-0.0011625618546211055,-0.0007351646166442347,561,8,38902783,2019-08-27 17:57:00,The Guardian,‘Depraved human being’: Jeffrey Epstein accusers voice their anguish in court,"['deprav', 'human', 'jeffrey', 'epstein', 'accus', 'voic', 'anguish', 'courtabout', '20', 'women', 'detail', 'emot', 'turmoil', 'continu', 'feel', 'interact', 'epstein']","epstein, accus, jeffrey, sexual, coward, anger, financi, women, abus, emot"
33,-0.0006577210916426923,-0.001179094094303054,0.00027598715271526003,624,3,4567634,2019-08-27 18:01:15,Fox News,"Greg Gutfeld: Biden needs to outpace Warren, Sanders before one progressive drops out","['greg', 'gutfeld', 'biden', 'need', 'outpac', 'warren', 'sander', 'progress', 'drop', 'outform', 'vice', 'presid', 'joe', 'biden', 'must', 'abl', 'surpass', 'combin', 'poll', 'number', 'rival', 'sen', 'berni', 'sander', 'ivt', 'elizabeth', 'warren', 'dmass', 'order', 'polit', 'surviv', 'long', 'term', 'accord', 'greg', 'gutfeld']","warren, sander, elizabeth, biden, gutfeld, consist, suffolk, momentum, poll, usa"
34,-0.0008540642519525238,-0.0006105159398733317,0.00013415247061615847,1236,9,4348465,2019-08-27 18:03:53,Breitbart,Bolsonaro to Macron: Stop Hurling Insults at Me,"['bolsonaro', 'macron', 'stop', 'hurl', 'insult', 'mejair', 'bolsonaro', 'suggest', 'may', 'accept', 'donat', 'organ', 'french', 'presid', 'emmanuel', 'macron', 'amazon', 'macron', 'stop', 'insult']","macron, bolsonaro, insult, emmanuel, jair, accept, g7, amazon, french, accept"
35,-0.0009285808960497957,-0.0002932570944846049,-4.999803815529589e-06,1236,9,3099408,2019-08-27 18:04:16,Reuters,Macron must take back 'insults' for Brazil to accept G7 Amazon aid: Bolsonaro,"['macron', 'must', 'back', 'insult', 'brazil', 'accept', 'g7', 'amazon', 'aid', 'bolsonarobrazilian', 'presid', 'jair', 'bolsonaro', 'said', 'tuesday', 'want', 'french', 'presid', 'emmanuel', 'macron', 'withdraw', 'insult', 'made', 'consid', 'accept', '20', 'million', 'offer', 'g7', 'nation', 'help', 'fight', 'forest', 'fire', 'amazon']","macron, bolsonaro, insult, emmanuel, jair, accept, g7, amazon, french, accept"
36,-0.0010571276910065876,5.978066784412419e-05,-0.0005757474867071477,827,1,59617764,2019-08-27 18:06:42,Chicago Tribune,"Tobacco merger talks: Altria, Philip Morris may reunite","['tobacco', 'merger', 'talk', 'altria', 'philip', 'morri', 'may', 'reunitewel', 'fargo', 'analyst', 'bonni', 'herzog', 'said', 'altriaphilip', 'morri', 'combin', 'would', 'make', 'lot', 'sens', 'allow', 'compani', 'cooper', 'amid', 'global', 'arm', 'race', 'nontradit', 'tobacco', 'product']","altria, morri, philip, tobacco, reunit, merger, marlboro, giant, talk, cig"
37,-0.00017793765290770997,-0.0011496322823479883,-0.0010271408385351213,561,8,55526806,2019-08-27 18:07:07,Yahoo! News,'Coward': Accusers rip Jeffrey Epstein in court hearing Tuesday,"['coward', 'accus', 'rip', 'jeffrey', 'epstein', 'court', 'hear', 'tuesdayjeffrey', 'epstein', 'dead', 'women', 'say', 'wealthi', 'financi', 'sexual', 'molest', 'took', 'center', 'stage', 'manhattan', 'courtroom']","epstein, accus, jeffrey, sexual, coward, anger, financi, women, abus, emot"
38,-0.0006235942902690366,-0.001051275363709751,-0.0002993059604428616,963,2,55119474,2019-08-27 18:11:28,Los Angeles Times,College Board abandoning SAT 'adversity score' after criticism,"['colleg', 'board', 'abandon', 'sat', 'advers', 'score', 'criticismth', 'compani', 'administ', 'sat', 'colleg', 'admiss', 'test', 'replac', 'socal', 'advers', 'score', 'tool', 'longer', 'reduc', 'applic', 'background', 'singl', 'number', 'idea', 'colleg', 'board', 'chief', 'execut', 'say', 'mistak']","advers, sat, score, colleg, admiss, board, score, metric, tool, augment"
39,-0.0006462109013448188,-0.0009865175107776495,-4.989997610048784e-05,963,2,54582223,2019-08-27 18:13:42,National Review,College Board Abandons Plan for SAT Adversity Scores,"['colleg', 'board', 'abandon', 'plan', 'sat', 'advers', 'scoresth', 'colleg', 'board', 'abandon', 'plan', 'augment', 'student', 'sat', 'score', 'advers', 'score', 'metric', 'design', 'control', 'privileg', 'admiss', 'process', 'endur', 'month', 'critic', 'educ', 'parent']","advers, sat, score, colleg, admiss, board, score, metric, tool, augment"
40,-0.0008191089306033044,6.845881394305949e-05,-0.000435277354363894,818,3,55570484,2019-08-27 18:19:59,Yahoo! News,Sanders: China Has Made ‘More Progress’ on Extreme Poverty than Any Country in History,"['sander', 'china', 'made', 'progress', 'extrem', 'poverti', 'countri', 'historypresidenti', 'contend', 'berni', 'sander', 'spoke', 'highli', 'china', 'leadership', 'new', 'interview', 'say', 'chines', 'govern', 'made', 'great', 'stride', 'combat', 'extrem', 'poverti', 'despit', 'move', 'authoritarian', 'directionchina', 'countri', 'move', 'unfortun', 'authoritarian']","poverti, sander, extrem, berni, authoritarian, ingraham, laura, lot, china, progress"
41,-0.0006171033208395121,-0.0006719732182763886,-0.0009337278827487175,1,8,39127870,2019-08-27 18:21:03,The Guardian,Former Google self-driving car engineer charged with theft of trade secrets,"['former', 'googl', 'selfdriv', 'car', 'engin', 'charg', 'theft', 'trade', 'secretsanthoni', 'levandowski', 'work', 'autonom', 'vehicl', 'googl', 'nearli', 'decad', 'go', 'work', 'uber']","engin, secret, steal, levandowski, googl, drive, self, anthoni, uber, car"
42,-0.0002667572420514214,-0.0012202810833598996,-0.0008900140847350526,561,8,3868586,2019-08-27 18:26:45,HuffPost,Jeffrey Epstein Accusers Get Their Day In Court After His Death,"['jeffrey', 'epstein', 'accus', 'get', 'day', 'court', 'deathsever', 'women', 'read', 'emot', 'statement', 'express', 'anger', 'frustrat', 'nowdefunct', 'case']","epstein, accus, jeffrey, sexual, coward, anger, financi, women, abus, emot"
43,-0.0006221283760597158,-0.0006572605210629168,-0.0005045756783847451,602,2,55564943,2019-08-27 18:38:34,Yahoo! News,Trump said his Florida resort where he wants to host the next G7 has 'no bed bugs.' The resort settled a lawsuit over bed bugs there in 2017,"['trump', 'said', 'florida', 'resort', 'want', 'host', 'next', 'g7', 'bed', 'bug', 'resort', 'settl', 'lawsuit', 'bed', 'bug', '2017trump', 'said', 'florida', 'resort', 'doesnt', 'bed', 'bug', '2017', 'doral', 'resort', 'reach', 'settlement', 'guest', 'allegedli', 'bitten', 'bug']","resort, doral, rumor, bug, bedbug, bed, promot, miami, stem, infest"
44,-0.00030907271500198625,-0.001287276027719754,-0.0005705987204536747,392,8,113884419,2019-08-27 18:40:43,CBS News,Jeffrey Epstein's death: Democratic Women's Caucus asks for House investigation,"['jeffrey', 'epstein', 'death', 'democrat', 'women', 'caucu', 'ask', 'hous', 'investigationsever', 'hous', 'democrat', 'led', 'democrat', 'women', 'caucu', 'ask', 'two', 'committe', 'probe', 'circumst', 'epstein', 'suicid']","epstein, jeffrey, suicid, theori, consist, conspiraci, injuri, caucu, flourish, die"
45,-0.0003300986695773588,-0.0008557852933783739,-0.0008923485937298432,1386,2,4935250,2019-08-27 18:45:08,CNN,Incoming Harvard freshman denied entry by immigration officials,"['incom', 'harvard', 'freshman', 'deni', 'entri', 'immigr', 'officialswhen', 'harvard', 'univers', 'dorm', 'open', 'door', 'firstyear', 'student', 'tuesday', 'miss', 'ismail', 'ajjawi', 'incom', 'firstyear', 'student', 'deni', 'entri', 'unit', 'state', 'last', 'week', 'accord', 'univers']","harvard, freshman, friend, entri, palestinian, ajjawi, ismail, deni, 17, student"
46,-0.0005373800447738812,-0.00042908861355142684,-0.0008030311096408071,677,9,55558350,2019-08-27 18:46:33,Yahoo! News,Sting Condemns Brazil’s Handling of Amazon Fires: ‘We Will All Suffer the Consequences’,"['sting', 'condemn', 'brazil', 'handl', 'amazon', 'fire', 'suffer', 'consequencesmusician', 'rainforest', 'preserv', 'advoc', 'call', 'respons', 'crimin', 'neglig', 'global', 'scale']","fire, brazil, forest, wildfir, burn, amazon, rainforest, rain, warn, protect"
47,-0.0007488406190904099,-0.0001502242373797027,-0.0008584226191941782,476,2,55269099,2019-08-27 18:48:00,NBC News,Trump admin pulling millions from FEMA disaster relief to send to southern border,"['trump', 'admin', 'pull', 'million', 'fema', 'disast', 'relief', 'send', 'southern', 'borderth', 'trump', 'administr', 'pull', '271m', 'fund', 'depart', 'homeland', 'secur', 'pay', 'immigr', 'detent', 'space', 'hear', 'locat']","disast, relief, fund, fema, administr, detent, homeland, million, secur, ice"
48,1.3593992115805982e-05,-0.0009121924885744328,-0.0011642161106048161,734,6,4386503,2019-08-27 18:50:41,Fox News,'Suspicious' deaths at West Virginia VA hospital under investigation,"['suspici', 'death', 'west', 'virginia', 'hospit', 'investigationa', 'govern', 'watchdog', 'group', 'investig', 'person', 'interest', 'seri', 'least', '10', 'patient', 'die', 'suddenli', 'similar', 'manner', 'veteran', 'affair', 'hospit', 'west', 'virginia', 'least', 'death', 'rule', 'homicid']","death, virginia, investig, hospit, west, veteran, affair, patient, suspici, wrongdo"
49,-0.0006178849949279652,-0.0011519927171695804,9.259608409052798e-05,1031,2,45623252,2019-08-27 18:54:44,The Washington Post,Executive director of pro-LGBT rights GOP group is the latest to leave after its endorsement of Trump,"['execut', 'director', 'prolgbt', 'right', 'gop', 'group', 'latest', 'leav', 'endors', 'trumpjerri', 'ann', 'henri', 'departur', 'log', 'cabin', 'republican', 'follow', 'two', 'board', 'member', 'last', 'week']","cabin, log, endors, jerri, henri, ann, republican, departur, lgbt, director"
50,-0.0007879688610586275,-0.00012410632218052834,-0.0009670962517931325,993,6,1048192,2019-08-27 19:06:32,Reuters,Opioid drugmaker Purdue Pharma offers $10-12 billion to settle opioid claims: NBC News,"['opioid', 'drugmak', 'purdu', 'pharma', 'offer', '1012', 'billion', 'settl', 'opioid', 'claim', 'nbc', 'newsoxycontin', 'maker', 'purdu', 'pharma', 'owner', 'sackler', 'famili', 'offer', 'settl', '2000', 'lawsuit', 'compani', '10', 'billion', '12', 'billion', 'nbc', 'news', 'report', 'tuesday', 'cite', 'peopl', 'familiar', 'matter']","purdu, pharma, sackler, billion, settl, 12, opioid, oxycontin, discuss, lawsuit"
53,-0.00036966453517501955,-0.0007550130505117814,-0.001134449201107711,1,8,55528577,2019-08-27 19:21:11,Yahoo! News,Ex-Google engineer charged with theft of autonomous car secrets,"['exgoogl', 'engin', 'charg', 'theft', 'autonom', 'car', 'secretsa', 'former', 'googl', 'engin', 'hit', 'crimin', 'charg', 'tuesday', 'alleg', 'stole', 'trade', 'secret', 'technolog', 'giant', 'selfdriv', 'car', 'project', 'went', 'work', 'uber', 'convict', 'charg', 'anthoni', 'levandowski', 'face', '10', 'year', 'prison', 'penalti', '250000', 'violat']","engin, secret, steal, levandowski, googl, drive, self, anthoni, uber, car"
54,-0.000541139439613587,-0.0008891143702317687,-0.0005326505176410849,602,2,3875036,2019-08-27 19:21:14,HuffPost,Trump Blames Democrats For 'Nasty' Bedbugs Report At Doral Resort,"['trump', 'blame', 'democrat', 'nasti', 'bedbug', 'report', 'doral', 'resortth', 'presid', 'promot', 'florida', 'properti', 'guest', 'claim', 'infest', 'voraci', 'bed', 'bug', 'next', 'year', 'g7', 'summit', 'world', 'leader']","resort, doral, rumor, bug, bedbug, bed, promot, miami, stem, infest"
55,-0.0004713887649591346,-8.488568165185396e-05,-0.0008887040100850006,630,9,45724319,2019-08-27 19:21:43,The Washington Post,Vast fires sweep across Bolivia as well as Brazil,"['vast', 'fire', 'sweep', 'across', 'bolivia', 'well', 'brazilwhil', 'global', 'attent', 'focus', 'fire', 'burn', 'across', 'brazilian', 'amazon', 'neighbor', 'bolivia', 'battl', 'vast', 'blaze', 'char', 'area', 'nearli', 'extens', 'nation', 'lebanon']","fire, amazon, brazil, bolivia, neighbor, rage, burn, forest, poison, peru"
